Assembly,Chromosome,Plasmid
GCF_013306415.1,NZ_CP052094.1,NZ_CP052095.1
GCF_013306435.1,NZ_CP052096.1,NZ_CP052097.1
GCF_013306455.1,NZ_CP052100.1,NZ_CP052101.1
GCF_013306475.1,NZ_CP052098.1,NZ_CP052099.1
GCF_013306495.1,NZ_CP052102.1,NZ_CP052103.1
GCF_013306515.1,NZ_CP052104.1,NZ_CP052105.1
GCF_013306545.1,NZ_CP052106.1,NZ_CP052107.1
GCF_013306575.1,NZ_CP052108.1,NZ_CP052109.1
GCF_013306655.1,NZ_CP052110.1,NZ_CP052111.1
GCF_013306745.1,NZ_CP052112.1,NZ_CP052113.1
GCF_013306765.1,NZ_CP052114.1,NZ_CP052115.1
GCF_013306785.1,NZ_CP052118.1,NZ_CP052119.1
GCF_013306805.1,NZ_CP052116.1,NZ_CP052117.1
GCF_013306825.1,NZ_CP052120.1,NZ_CP052121.1
GCF_013306845.1,NZ_CP052122.1,NZ_CP052123.1
GCF_013306875.1,NZ_CP052124.1,NZ_CP052125.1
GCF_013306915.1,NZ_CP052130.1,NZ_CP052131.1
GCF_013306935.1,NZ_CP052126.1,NZ_CP052127.1
GCF_013306955.1,NZ_CP052128.1,NZ_CP052129.1
GCF_013307005.2,NZ_CP053353.1,NZ_CP053354.1
GCF_013307025.1,NZ_CP053356.1,NZ_CP053355.1
GCF_013307065.1,NZ_CP053639.1,NZ_CP053638.1
GCF_013307085.1,NZ_CP038183.1,NZ_CP038184.1
GCF_013307085.1,NZ_CP038183.1,NZ_CP038185.1
GCF_013307125.1,NZ_CP039707.1,NZ_CP039708.1
GCF_013307125.1,NZ_CP039707.1,NZ_CP039709.1
GCF_013307145.1,NZ_CP021157.1,NZ_CP021159.1
GCF_013307145.1,NZ_CP021157.1,NZ_CP021160.1
GCF_013307145.1,NZ_CP021158.1,NZ_CP021159.1
GCF_013307145.1,NZ_CP021158.1,NZ_CP021160.1
GCF_013307165.1,NZ_CP023203.1,NZ_CP023205.1
GCF_013307165.1,NZ_CP023203.1,NZ_CP023206.1
GCF_013307165.1,NZ_CP023203.1,NZ_CP023207.1
GCF_013307165.1,NZ_CP023204.1,NZ_CP023205.1
GCF_013307165.1,NZ_CP023204.1,NZ_CP023206.1
GCF_013307165.1,NZ_CP023204.1,NZ_CP023207.1
GCF_013315675.1,NZ_CP054345.1,NZ_CP054346.1
GCF_013315675.1,NZ_CP054345.1,NZ_CP054347.1
GCF_013315675.1,NZ_CP054345.1,NZ_CP054348.1
GCF_013315675.1,NZ_CP054345.1,NZ_CP054349.1
GCF_013315675.1,NZ_CP054345.1,NZ_CP054350.1
GCF_013315675.1,NZ_CP054345.1,NZ_CP054351.1
GCF_013315675.1,NZ_CP054345.1,NZ_CP054352.1
GCF_013315695.1,NZ_CP054353.1,NZ_CP054354.1
GCF_013315695.1,NZ_CP054353.1,NZ_CP054355.1
GCF_013315695.1,NZ_CP054353.1,NZ_CP054356.1
GCF_013315695.1,NZ_CP054353.1,NZ_CP054357.1
GCF_013315695.1,NZ_CP054353.1,NZ_CP054358.1
GCF_013315695.1,NZ_CP054353.1,NZ_CP054359.1
GCF_013315695.1,NZ_CP054353.1,NZ_CP054360.1
GCF_013315695.1,NZ_CP054353.1,NZ_CP054361.1
GCF_013315695.1,NZ_CP054353.1,NZ_CP054362.1
GCF_013315715.1,NZ_CP054363.1,NZ_CP054364.1
GCF_013315715.1,NZ_CP054363.1,NZ_CP054365.1
GCF_013315715.1,NZ_CP054363.1,NZ_CP054366.1
GCF_013315715.1,NZ_CP054363.1,NZ_CP054367.1
GCF_013315735.1,NZ_CP054368.1,NZ_CP054369.1
GCF_013315735.1,NZ_CP054368.1,NZ_CP054370.1
GCF_013315995.1,NZ_CP053284.1,NZ_CP053285.1
GCF_013317085.1,NZ_CP047405.1,NZ_CP047406.1
GCF_013317085.1,NZ_CP047405.1,NZ_CP047407.1
GCF_013317085.1,NZ_CP047405.1,NZ_CP047408.1
GCF_013328855.1,NZ_CP054422.1,NZ_CP054423.1
GCF_013331815.1,NZ_CP053955.1,NZ_CP053956.1
GCF_013340745.1,NZ_CP050183.1,NZ_CP050184.1
GCF_013340745.1,NZ_CP050183.1,NZ_CP050185.1
GCF_013340745.1,NZ_CP050183.1,NZ_CP050186.1
GCF_013340785.1,NZ_AP023190.1,NZ_AP023191.1
GCF_013340785.1,NZ_AP023190.1,NZ_AP023192.1
GCF_013340785.1,NZ_AP023190.1,NZ_AP023193.1
GCF_013340785.1,NZ_AP023190.1,NZ_AP023194.1
GCF_013340785.1,NZ_AP023190.1,NZ_AP023195.1
GCF_013340785.1,NZ_AP023190.1,NZ_AP023196.1
GCF_013340805.1,NZ_AP023197.1,NZ_AP023198.1
GCF_013340805.1,NZ_AP023197.1,NZ_AP023199.1
GCF_013340805.1,NZ_AP023197.1,NZ_AP023200.1
GCF_013340805.1,NZ_AP023197.1,NZ_AP023201.1
GCF_013340805.1,NZ_AP023197.1,NZ_AP023202.1
GCF_013340805.1,NZ_AP023197.1,NZ_AP023203.1
GCF_013340805.1,NZ_AP023197.1,NZ_AP023204.1
GCF_013340825.1,NZ_AP023205.1,NZ_AP023206.1
GCF_013340825.1,NZ_AP023205.1,NZ_AP023207.1
GCF_013340825.1,NZ_AP023205.1,NZ_AP023208.1
GCF_013340825.1,NZ_AP023205.1,NZ_AP023209.1
GCF_013340825.1,NZ_AP023205.1,NZ_AP023210.1
GCF_013340825.1,NZ_AP023205.1,NZ_AP023211.1
GCF_013341255.1,NZ_CP054479.1,NZ_CP054478.1
GCF_013341395.1,NZ_CP054434.1,NZ_CP054435.1
GCF_013341395.1,NZ_CP054434.1,NZ_CP054436.1
GCF_013341395.1,NZ_CP054434.1,NZ_CP054437.1
GCF_013341415.1,NZ_CP054438.1,NZ_CP054439.1
GCF_013341435.1,NZ_CP054444.1,NZ_CP054445.1
GCF_013341435.1,NZ_CP054444.1,NZ_CP054446.1
GCF_013341435.1,NZ_CP054444.1,NZ_CP054447.1
GCF_013341435.1,NZ_CP054444.1,NZ_CP054448.1
GCF_013341455.1,NZ_CP054440.1,NZ_CP054441.1
GCF_013341455.1,NZ_CP054440.1,NZ_CP054442.1
GCF_013341455.1,NZ_CP054440.1,NZ_CP054443.1
GCF_013343055.1,NZ_CP054575.1,NZ_CP054576.1
GCF_013343055.1,NZ_CP054575.1,NZ_CP054577.1
GCF_013343055.1,NZ_CP054575.1,NZ_CP054578.1
GCF_013343055.1,NZ_CP054575.1,NZ_CP054579.1
GCF_013343075.1,NZ_CP054568.1,NZ_CP054567.1
GCF_013343195.2,NZ_CP039120.2,NZ_CP059092.1
GCF_013343215.1,NZ_CP039143.1,NZ_CP039144.1
GCF_013343215.1,NZ_CP039143.1,NZ_CP039153.1
GCF_013343215.1,NZ_CP039143.1,NZ_CP039154.1
GCF_013343215.1,NZ_CP039143.1,NZ_CP039155.1
GCF_013343215.1,NZ_CP039143.1,NZ_CP039145.1
GCF_013343215.1,NZ_CP039143.1,NZ_CP039146.1
GCF_013343215.1,NZ_CP039143.1,NZ_CP039147.1
GCF_013343215.1,NZ_CP039143.1,NZ_CP039148.1
GCF_013343215.1,NZ_CP039143.1,NZ_CP039149.1
GCF_013343215.1,NZ_CP039143.1,NZ_CP039150.1
GCF_013343215.1,NZ_CP039143.1,NZ_CP039151.1
GCF_013343215.1,NZ_CP039143.1,NZ_CP039152.1
GCF_013343255.1,NZ_CP045257.1,NZ_CP045256.1
GCF_013343255.1,NZ_CP045257.1,NZ_CP045255.1
GCF_013343595.1,NZ_CP039834.1,NZ_CP039835.1
GCF_013343595.1,NZ_CP039834.1,NZ_CP039836.1
GCF_013343615.1,NZ_CP039837.1,NZ_CP039843.1
GCF_013343615.1,NZ_CP039837.1,NZ_CP039842.1
GCF_013343615.1,NZ_CP039837.1,NZ_CP039841.1
GCF_013343615.1,NZ_CP039837.1,NZ_CP039840.1
GCF_013343615.1,NZ_CP039837.1,NZ_CP039839.1
GCF_013343615.1,NZ_CP039837.1,NZ_CP039838.1
GCF_013343635.1,NZ_CP040107.1,NZ_CP040108.1
GCF_013343635.1,NZ_CP040107.1,NZ_CP040109.1
GCF_013343635.1,NZ_CP040107.1,NZ_CP040110.1
GCF_013344605.1,NZ_CP046108.1,NZ_CP046109.1
GCF_013344605.1,NZ_CP046108.1,NZ_CP046110.1
GCF_013344685.1,NZ_CP050137.1,NZ_CP050138.1
GCF_013347125.1,NZ_CP054599.1,NZ_CP054600.1
GCF_013347125.1,NZ_CP054599.1,NZ_CP054601.1
GCF_013347125.1,NZ_CP054599.1,NZ_CP054602.1
GCF_013347125.1,NZ_CP054599.1,NZ_CP054603.1
GCF_013347125.1,NZ_CP054599.1,NZ_CP054604.1
GCF_013347125.1,NZ_CP054599.1,NZ_CP054605.1
GCF_013347125.1,NZ_CP054599.1,NZ_CP054606.1
GCF_013347125.1,NZ_CP054599.1,NZ_CP054607.1
GCF_013347125.1,NZ_CP054599.1,NZ_CP054608.1
GCF_013347265.1,NZ_CP054612.1,NZ_CP054609.1
GCF_013347265.1,NZ_CP054612.1,NZ_CP054610.1
GCF_013347265.1,NZ_CP054612.1,NZ_CP054611.1
GCF_013347265.1,NZ_CP054612.1,NZ_CP054613.1
GCF_013347285.1,NZ_CP054619.1,NZ_CP054615.1
GCF_013347285.1,NZ_CP054619.1,NZ_CP054616.1
GCF_013347285.1,NZ_CP054619.1,NZ_CP054617.1
GCF_013347285.1,NZ_CP054619.1,NZ_CP054618.1
GCF_013347285.1,NZ_CP054619.1,NZ_CP054620.1
GCF_013347285.1,NZ_CP054619.1,NZ_CP054621.1
GCF_013347285.1,NZ_CP054619.1,NZ_CP054622.1
GCF_013347325.1,NZ_CP054624.1,NZ_CP054625.1
GCF_013347325.1,NZ_CP054626.1,NZ_CP054625.1
GCF_013348005.1,NZ_CP041259.1,NZ_CP041260.1
GCF_013348825.1,NZ_CP054657.1,NZ_CP054658.1
GCF_013348825.1,NZ_CP054657.1,NZ_CP054659.1
GCF_013348825.1,NZ_CP054657.1,NZ_CP054660.1
GCF_013348825.1,NZ_CP054657.1,NZ_CP054661.1
GCF_013348865.1,NZ_CP054715.1,NZ_CP054717.1
GCF_013348865.1,NZ_CP054715.1,NZ_CP054718.1
GCF_013348865.1,NZ_CP054715.1,NZ_CP054716.1
GCF_013348885.1,NZ_CP054762.1,NZ_CP054763.1
GCF_013348885.1,NZ_CP054762.1,NZ_CP054764.1
GCF_013348885.1,NZ_CP054762.1,NZ_CP054765.1
GCF_013348885.1,NZ_CP054762.1,NZ_CP054766.1
GCF_013348885.1,NZ_CP054762.1,NZ_CP054767.1
GCF_013348905.1,NZ_CP054720.1,NZ_CP054721.1
GCF_013348905.1,NZ_CP054720.1,NZ_CP054722.1
GCF_013348905.1,NZ_CP054720.1,NZ_CP054723.1
GCF_013348905.1,NZ_CP054720.1,NZ_CP054724.1
GCF_013348905.1,NZ_CP054720.1,NZ_CP054725.1
GCF_013348925.1,NZ_CP054756.1,NZ_CP054757.1
GCF_013348925.1,NZ_CP054756.1,NZ_CP054758.1
GCF_013348925.1,NZ_CP054756.1,NZ_CP054759.1
GCF_013348925.1,NZ_CP054756.1,NZ_CP054760.1
GCF_013348925.1,NZ_CP054756.1,NZ_CP054761.1
GCF_013348945.1,NZ_CP054732.1,NZ_CP054733.1
GCF_013348945.1,NZ_CP054732.1,NZ_CP054734.1
GCF_013348945.1,NZ_CP054732.1,NZ_CP054735.1
GCF_013348945.1,NZ_CP054732.1,NZ_CP054736.1
GCF_013348945.1,NZ_CP054732.1,NZ_CP054737.1
GCF_013348965.1,NZ_CP054726.1,NZ_CP054727.1
GCF_013348965.1,NZ_CP054726.1,NZ_CP054728.1
GCF_013348965.1,NZ_CP054726.1,NZ_CP054729.1
GCF_013348965.1,NZ_CP054726.1,NZ_CP054730.1
GCF_013348965.1,NZ_CP054726.1,NZ_CP054731.1
GCF_013348985.1,NZ_CP054738.1,NZ_CP054739.1
GCF_013348985.1,NZ_CP054738.1,NZ_CP054740.1
GCF_013348985.1,NZ_CP054738.1,NZ_CP054741.1
GCF_013348985.1,NZ_CP054738.1,NZ_CP054742.1
GCF_013348985.1,NZ_CP054738.1,NZ_CP054743.1
GCF_013349005.1,NZ_CP054744.1,NZ_CP054745.1
GCF_013349005.1,NZ_CP054744.1,NZ_CP054746.1
GCF_013349005.1,NZ_CP054744.1,NZ_CP054747.1
GCF_013349005.1,NZ_CP054744.1,NZ_CP054748.1
GCF_013349005.1,NZ_CP054744.1,NZ_CP054749.1
GCF_013349025.1,NZ_CP054750.1,NZ_CP054751.1
GCF_013349025.1,NZ_CP054750.1,NZ_CP054752.1
GCF_013349025.1,NZ_CP054750.1,NZ_CP054753.1
GCF_013349025.1,NZ_CP054750.1,NZ_CP054754.1
GCF_013349025.1,NZ_CP054750.1,NZ_CP054755.1
GCF_013349045.1,NZ_CP054768.1,NZ_CP054769.1
GCF_013349045.1,NZ_CP054768.1,NZ_CP054770.1
GCF_013349045.1,NZ_CP054768.1,NZ_CP054771.1
GCF_013349045.1,NZ_CP054768.1,NZ_CP054772.1
GCF_013349045.1,NZ_CP054768.1,NZ_CP054773.1
GCF_013349065.1,NZ_CP054774.1,NZ_CP054775.1
GCF_013349065.1,NZ_CP054774.1,NZ_CP054776.1
GCF_013349065.1,NZ_CP054774.1,NZ_CP054777.1
GCF_013349065.1,NZ_CP054774.1,NZ_CP054778.1
GCF_013349065.1,NZ_CP054774.1,NZ_CP054779.1
GCF_013349085.1,NZ_CP054780.1,NZ_CP054781.1
GCF_013349085.1,NZ_CP054780.1,NZ_CP054782.1
GCF_013349085.1,NZ_CP054780.1,NZ_CP054783.1
GCF_013349085.1,NZ_CP054780.1,NZ_CP054784.1
GCF_013349085.1,NZ_CP054780.1,NZ_CP054785.1
GCF_013357345.1,NZ_CP054940.1,NZ_CP054941.1
GCF_013357345.1,NZ_CP054940.1,NZ_CP054942.1
GCF_013357345.1,NZ_CP054940.1,NZ_CP054943.1
GCF_013357345.1,NZ_CP054940.1,NZ_CP054944.1
GCF_013357365.1,NZ_CP050498.1,NZ_CP050499.1
GCF_013357785.1,NZ_CP053810.1,NZ_CP053812.1
GCF_013357785.1,NZ_CP053811.1,NZ_CP053812.1
GCF_013357805.1,NZ_CP053813.1,NZ_CP053815.1
GCF_013357805.1,NZ_CP053814.1,NZ_CP053815.1
GCF_013357825.1,NZ_CP053822.1,NZ_CP053824.1
GCF_013357825.1,NZ_CP053823.1,NZ_CP053824.1
GCF_013357845.1,NZ_CP053816.1,NZ_CP053818.1
GCF_013357845.1,NZ_CP053816.1,NZ_CP053819.1
GCF_013357845.1,NZ_CP053817.1,NZ_CP053818.1
GCF_013357845.1,NZ_CP053817.1,NZ_CP053819.1
GCF_013358365.1,NZ_CP054831.1,NZ_CP054832.1
GCF_013358365.1,NZ_CP054831.1,NZ_CP054833.1
GCF_013358365.1,NZ_CP054831.1,NZ_CP054834.1
GCF_013358365.1,NZ_CP054831.1,NZ_CP054835.1
GCF_013363755.1,NZ_CP054840.1,NZ_CP054841.1
GCF_013363755.1,NZ_CP054840.1,NZ_CP054842.1
GCF_013364115.1,NZ_CP054913.1,NZ_CP054914.1
GCF_013364115.1,NZ_CP054913.1,NZ_CP054915.1
GCF_013364135.1,NZ_CP054912.1,NZ_CP054909.1
GCF_013364135.1,NZ_CP054912.1,NZ_CP054910.1
GCF_013364135.1,NZ_CP054912.1,NZ_CP054911.1
GCF_013364155.1,NZ_CP054916.1,NZ_CP054917.1
GCF_013364215.1,NZ_CP054923.1,NZ_CP054924.1
GCF_013364315.1,NZ_CP054926.1,NZ_CP054927.1
GCF_013364315.1,NZ_CP054926.1,NZ_CP054928.1
GCF_013364335.1,NZ_CP054929.1,NZ_CP054930.1
GCF_013364375.1,NZ_CP054920.1,NZ_CP054921.1
GCF_013364375.1,NZ_CP054920.1,NZ_CP054922.1
GCF_013365515.1,NZ_CP047387.1,NZ_CP047389.1
GCF_013365515.1,NZ_CP047387.1,NZ_CP047390.1
GCF_013365515.1,NZ_CP047388.1,NZ_CP047389.1
GCF_013365515.1,NZ_CP047388.1,NZ_CP047390.1
GCF_013365535.1,NZ_CP053590.1,NZ_CP053591.1
GCF_013367715.1,NZ_CP055123.1,NZ_CP055122.1
GCF_013367715.1,NZ_CP055123.1,NZ_CP055121.1
GCF_013368735.1,NZ_CP054700.1,NZ_CP054702.1
GCF_013368735.1,NZ_CP054700.1,NZ_CP054703.1
GCF_013368735.1,NZ_CP054700.1,NZ_CP054704.1
GCF_013368735.1,NZ_CP054701.1,NZ_CP054702.1
GCF_013368735.1,NZ_CP054701.1,NZ_CP054703.1
GCF_013368735.1,NZ_CP054701.1,NZ_CP054704.1
GCF_013368775.1,NZ_CP051177.1,NZ_CP051178.1
GCF_013368775.1,NZ_CP051177.1,NZ_CP051179.1
GCF_013371685.1,NZ_CP055251.1,NZ_CP055252.1
GCF_013371685.1,NZ_CP055251.1,NZ_CP055253.1
GCF_013371685.1,NZ_CP055251.1,NZ_CP055254.1
GCF_013371685.1,NZ_CP055251.1,NZ_CP055255.1
GCF_013371705.1,NZ_CP055247.1,NZ_CP055248.1
GCF_013371705.1,NZ_CP055247.1,NZ_CP055250.1
GCF_013371705.1,NZ_CP055247.1,NZ_CP055249.1
GCF_013371725.1,NZ_CP055256.1,NZ_CP055257.1
GCF_013371725.1,NZ_CP055256.1,NZ_CP055258.1
GCF_013371745.1,NZ_CP055259.1,NZ_CP055260.1
GCF_013371745.1,NZ_CP055259.1,NZ_CP055261.1
GCF_013371745.1,NZ_CP055259.1,NZ_CP055262.1
GCF_013372065.1,NZ_CP049828.1,NZ_CP049829.1
GCF_013372085.1,NZ_CP053098.1,NZ_CP053099.1
GCF_013372085.1,NZ_CP053098.1,NZ_CP053100.1
GCF_013372165.1,NZ_CP053828.1,NZ_CP053829.1
GCF_013372305.1,NZ_CP054214.1,NZ_CP054215.1
GCF_013372305.1,NZ_CP054214.1,NZ_CP054216.1
GCF_013372305.1,NZ_CP054214.1,NZ_CP054217.1
GCF_013372305.1,NZ_CP054214.1,NZ_CP054218.1
GCF_013372325.1,NZ_CP054219.1,NZ_CP054220.1
GCF_013372325.1,NZ_CP054219.1,NZ_CP054221.1
GCF_013372325.1,NZ_CP054219.1,NZ_CP054222.1
GCF_013372325.1,NZ_CP054219.1,NZ_CP054223.1
GCF_013372345.1,NZ_CP054224.1,NZ_CP054225.1
GCF_013372345.1,NZ_CP054224.1,NZ_CP054226.1
GCF_013372365.1,NZ_CP054227.1,NZ_CP054228.1
GCF_013372365.1,NZ_CP054227.1,NZ_CP054229.1
GCF_013372385.1,NZ_CP054230.1,NZ_CP054231.1
GCF_013372405.1,NZ_CP054232.1,NZ_CP054233.1
GCF_013372405.1,NZ_CP054232.1,NZ_CP054234.1
GCF_013372405.1,NZ_CP054232.1,NZ_CP054235.1
GCF_013372425.1,NZ_CP054236.1,NZ_CP054237.1
GCF_013372425.1,NZ_CP054236.1,NZ_CP054238.1
GCF_013373785.3,NZ_CP088288.1,NZ_CP088289.1
GCF_013373785.3,NZ_CP088288.1,NZ_CP088290.1
GCF_013373785.3,NZ_CP088288.1,NZ_CP088291.1
GCF_013373795.3,NZ_CP088022.1,NZ_CP088023.1
GCF_013373795.3,NZ_CP088022.1,NZ_CP088024.1
GCF_013373795.3,NZ_CP088022.1,NZ_CP088025.1
GCF_013374115.1,NZ_AP022673.1,NZ_AP022674.1
GCF_013374155.1,NZ_AP023036.1,NZ_AP023037.1
GCF_013374155.1,NZ_AP023036.1,NZ_AP023038.1
GCF_013374175.1,NZ_AP023039.1,NZ_AP023040.1
GCF_013374175.1,NZ_AP023039.1,NZ_AP023041.1
GCF_013374195.1,NZ_AP023042.1,NZ_AP023043.1
GCF_013374195.1,NZ_AP023042.1,NZ_AP023044.1
GCF_013374195.1,NZ_AP023042.1,NZ_AP023045.1
GCF_013374215.1,NZ_AP023046.1,NZ_AP023047.1
GCF_013374215.1,NZ_AP023046.1,NZ_AP023048.1
GCF_013374235.2,NZ_AP023219.2,NZ_AP023220.2
GCF_013374235.2,NZ_AP023219.2,NZ_AP023221.2
GCF_013374235.2,NZ_AP023219.2,NZ_AP023222.2
GCF_013374235.2,NZ_AP023219.2,NZ_AP023223.2
GCF_013374255.1,NZ_AP023224.1,NZ_AP023225.1
GCF_013374275.1,NZ_AP023226.1,NZ_AP023227.1
GCF_013374275.1,NZ_AP023226.1,NZ_AP023228.1
GCF_013374275.1,NZ_AP023226.1,NZ_AP023229.1
GCF_013374295.2,NZ_AP023230.2,NZ_AP023231.2
GCF_013374295.2,NZ_AP023230.2,NZ_AP023232.2
GCF_013374295.2,NZ_AP023230.2,NZ_AP023233.2
GCF_013374295.2,NZ_AP023230.2,NZ_AP023234.2
GCF_013374315.1,NZ_AP023235.1,NZ_AP023236.1
GCF_013374335.1,NZ_AP023237.1,NZ_AP023238.1
GCF_013374795.1,NZ_CP055277.1,NZ_CP055283.1
GCF_013374795.1,NZ_CP055277.1,NZ_CP055284.1
GCF_013374795.1,NZ_CP055277.1,NZ_CP055285.1
GCF_013374795.1,NZ_CP055277.1,NZ_CP055286.1
GCF_013374795.1,NZ_CP055277.1,NZ_CP055287.1
GCF_013374795.1,NZ_CP055277.1,NZ_CP055288.1
GCF_013374795.1,NZ_CP055277.1,NZ_CP055289.1
GCF_013374795.1,NZ_CP055277.1,NZ_CP055290.1
GCF_013374795.1,NZ_CP055277.1,NZ_CP055291.1
GCF_013374795.1,NZ_CP055277.1,NZ_CP055278.1
GCF_013374795.1,NZ_CP055277.1,NZ_CP055279.1
GCF_013374795.1,NZ_CP055277.1,NZ_CP055280.1
GCF_013374795.1,NZ_CP055277.1,NZ_CP055281.1
GCF_013374795.1,NZ_CP055277.1,NZ_CP055282.1
GCF_013374995.1,NZ_CP056030.1,NZ_CP056031.1
GCF_013375015.1,NZ_CP056034.1,NZ_CP056035.1
GCF_013375035.1,NZ_CP056032.1,NZ_CP056033.1
GCF_013375715.1,NZ_CP056083.1,NZ_CP056084.1
GCF_013375735.1,NZ_CP056085.1,NZ_CP056086.1
GCF_013376455.1,NZ_CP045504.1,NZ_CP045505.1
GCF_013376495.1,NZ_CP045506.1,NZ_CP045507.1
GCF_013376535.2,NZ_CP051159.1,NZ_CP076548.1
GCF_013376535.2,NZ_CP051159.1,NZ_CP076549.1
GCF_013376535.2,NZ_CP051159.1,NZ_CP076550.1
GCF_013376535.2,NZ_CP051159.1,NZ_CP076551.1
GCF_013376535.2,NZ_CP051159.1,NZ_CP076552.1
GCF_013376535.2,NZ_CP051159.1,NZ_CP076553.1
GCF_013376535.2,NZ_CP051159.1,NZ_CP076554.1
GCF_013376575.1,NZ_CP049967.1,NZ_CP049968.1
GCF_013376575.1,NZ_CP049967.1,NZ_CP049969.1
GCF_013376575.1,NZ_CP049967.1,NZ_CP049970.1
GCF_013376575.1,NZ_CP049967.1,NZ_CP049971.1
GCF_013376575.1,NZ_CP049967.1,NZ_CP049972.1
GCF_013376575.1,NZ_CP049967.1,NZ_CP049973.1
GCF_013376575.1,NZ_CP049967.1,NZ_CP049974.1
GCF_013376575.1,NZ_CP049967.1,NZ_CP049975.1
GCF_013376815.1,NZ_CP056776.1,NZ_CP056777.1
GCF_013376815.1,NZ_CP056776.1,NZ_CP056778.1
GCF_013376835.1,NZ_CP056779.1,NZ_CP056782.1
GCF_013376835.1,NZ_CP056779.1,NZ_CP056780.1
GCF_013376835.1,NZ_CP056779.1,NZ_CP056781.1
GCF_013376855.2,NZ_CP056784.2,NZ_CP056785.1
GCF_013377175.1,NZ_CP046898.1,NZ_CP046901.1
GCF_013377175.1,NZ_CP046898.1,NZ_CP046900.1
GCF_013377175.1,NZ_CP046898.1,NZ_CP046899.1
GCF_013377315.1,NZ_CP039441.1,NZ_CP039442.1
GCF_013377335.1,NZ_CP039443.1,NZ_CP039444.1
GCF_013377355.1,NZ_CP039445.1,NZ_CP039446.1
GCF_013378015.1,NZ_CP055302.1,NZ_CP055303.1
GCF_013378015.1,NZ_CP055302.1,NZ_CP055304.1
GCF_013378095.1,NZ_CP015958.1,NZ_CP015960.1
GCF_013378095.1,NZ_CP015959.1,NZ_CP015960.1
GCF_013378155.1,NZ_CP039936.1,NZ_CP039937.1
GCF_013378155.1,NZ_CP039936.1,NZ_CP039938.1
GCF_013378175.1,NZ_CP039939.1,NZ_CP039940.1
GCF_013378175.1,NZ_CP039939.1,NZ_CP039941.1
GCF_013378195.1,NZ_CP039942.1,NZ_CP039943.1
GCF_013378195.1,NZ_CP039942.1,NZ_CP039944.1
GCF_013378215.1,NZ_CP039945.1,NZ_CP039946.1
GCF_013378215.1,NZ_CP039945.1,NZ_CP039947.1
GCF_013378235.1,NZ_CP039948.1,NZ_CP039949.1
GCF_013378235.1,NZ_CP039948.1,NZ_CP039950.1
GCF_013378255.1,NZ_CP039951.1,NZ_CP039952.1
GCF_013378255.1,NZ_CP039951.1,NZ_CP039953.1
GCF_013378275.1,NZ_CP039954.1,NZ_CP039955.1
GCF_013378275.1,NZ_CP039954.1,NZ_CP039956.1
GCF_013378295.1,NZ_CP039957.1,NZ_CP039958.1
GCF_013378295.1,NZ_CP039957.1,NZ_CP039959.1
GCF_013378315.1,NZ_CP039960.1,NZ_CP039961.1
GCF_013378315.1,NZ_CP039960.1,NZ_CP039962.1
GCF_013388275.1,NZ_CP058223.1,NZ_CP058224.1
GCF_013388275.1,NZ_CP058223.1,NZ_CP058225.1
GCF_013389415.1,NZ_CP058253.1,NZ_CP058254.1
GCF_013389435.1,NZ_CP058262.1,NZ_CP058263.1
GCF_013389435.1,NZ_CP058262.1,NZ_CP058264.1
GCF_013389435.1,NZ_CP058262.1,NZ_CP058265.1
GCF_013389435.1,NZ_CP058262.1,NZ_CP058266.1
GCF_013389435.1,NZ_CP058262.1,NZ_CP058267.1
GCF_013389435.1,NZ_CP058262.1,NZ_CP058268.1
GCF_013389435.1,NZ_CP058262.1,NZ_CP058269.1
GCF_013389435.1,NZ_CP058262.1,NZ_CP058270.1
GCF_013389435.1,NZ_CP058262.1,NZ_CP058271.1
GCF_013389555.1,NZ_CP058293.1,NZ_CP058294.1
GCF_013389575.1,NZ_CP058299.1,NZ_CP058300.1
GCF_013389615.1,NZ_CP058308.1,NZ_CP058309.1
GCF_013389615.1,NZ_CP058308.1,NZ_CP058310.1
GCF_013389615.1,NZ_CP058308.1,NZ_CP058311.1
GCF_013389695.1,NZ_CP058302.1,NZ_CP058303.1
GCF_013389695.1,NZ_CP058302.1,NZ_CP058304.1
GCF_013389695.1,NZ_CP058302.1,NZ_CP058305.1
GCF_013389715.1,NZ_CP058312.1,NZ_CP058313.1
GCF_013389715.1,NZ_CP058312.1,NZ_CP058314.1
GCF_013390265.1,NZ_CP053296.1,NZ_CP053298.1
GCF_013390265.1,NZ_CP053296.1,NZ_CP053297.1
GCF_013391125.1,NZ_CP058340.1,NZ_CP058341.1
GCF_013391825.1,NZ_CP058355.1,NZ_CP058356.1
GCF_013391825.1,NZ_CP058355.1,NZ_CP058357.1
GCF_013393825.1,NZ_CP040090.1,NZ_CP040091.1
GCF_013393825.1,NZ_CP040090.1,NZ_CP040092.1
GCF_013393905.1,NZ_CP040272.1,NZ_CP040273.1
GCF_013393905.1,NZ_CP040272.1,NZ_CP040274.1
GCF_013393905.1,NZ_CP040272.1,NZ_CP040275.1
GCF_013393905.1,NZ_CP040272.1,NZ_CP040276.1
GCF_013393905.1,NZ_CP040272.1,NZ_CP040277.1
GCF_013393905.1,NZ_CP040272.1,NZ_CP040278.1
GCF_013393905.1,NZ_CP040272.1,NZ_CP040279.1
GCF_013393905.1,NZ_CP040272.1,NZ_CP040280.1
