Plasmid,%GC,Size_bp,GC_bp,Putative_plasmid_T6SS,Transmissible_plasmid
NZ_CP040596.1,53.13969282206666,9571,5086,Absent,Transmissible
NZ_CP094481.1,34.55168739721585,43173,14917,Absent,Non-transmissible
NC_016035.1,38.34696261682243,3424,1313,Absent,Transmissible
NZ_CP082991.1,48.95896091008967,112868,55259,Absent,Non-transmissible
NZ_CP043794.1,32.306838673879874,7209,2329,Absent,Transmissible
NZ_CP037456.1,32.424192678408104,127923,41478,Absent,Non-transmissible
NZ_CP010730.1,55.080969195178376,82130,45238,Absent,Transmissible
NZ_CP094279.1,51.72619047619048,3360,1738,Absent,Transmissible
NZ_CP048248.1,38.466053609861085,5111,1966,Absent,Non-transmissible
NZ_CP047734.1,52.41581259150805,4781,2506,Absent,Transmissible
NZ_AP022196.1,50.949763847144695,232900,118662,Absent,Non-transmissible
NZ_CP019989.1,35.20149425047478,287502,101205,Absent,Non-transmissible
NZ_CP068417.1,43.49360026255333,48752,21204,Absent,Non-transmissible
NZ_CP084881.1,59.02694925959717,56996,33643,Absent,Non-transmissible
NZ_OU659116.1,42.39134217211261,57474,24364,Absent,Transmissible
NZ_CP072578.1,37.96680497925311,1928,732,Absent,Non-transmissible
NZ_CP019874.1,55.42939793888989,82965,45987,Orphan island,Transmissible
NZ_CP009414.1,52.47811112997502,164924,86549,Absent,Transmissible
NZ_CP037128.1,29.705882352941178,680,202,Absent,Non-transmissible
NZ_CP083133.1,31.003837608563927,14853,4605,Absent,Non-transmissible
NZ_CP020583.1,59.06221821460775,1109,655,Absent,Transmissible
NZ_CP076512.1,31.841548231025097,3307,1053,Absent,Non-transmissible
NZ_MW647491.1,49.724862431215605,1999,994,Absent,Non-transmissible
NZ_CP043623.1,59.049338146811074,16620,9814,Absent,Transmissible
NZ_CP043802.1,32.31132075471698,7208,2329,Absent,Transmissible
NZ_CP043345.1,54.57259707341347,128614,70188,Absent,Non-transmissible
NZ_CP027192.1,44.71729957805907,11850,5299,Absent,Transmissible
NZ_CP056076.1,54.42462657232704,122112,66459,Absent,Transmissible
NZ_CP037808.1,28.944405164061067,38187,11053,Absent,Non-transmissible
NZ_CP023790.1,35.291960536098216,199068,70255,Absent,Transmissible
NC_016939.1,32.14,15000,4821,Absent,Non-transmissible
NZ_CP032888.1,50.37470448093617,109553,55187,Absent,Transmissible
NC_020420.1,34.18025751072961,11650,3982,Absent,Non-transmissible
NZ_CP010621.1,53.715891551879785,68678,36891,Absent,Transmissible
NZ_CP041680.1,44.74671669793621,5330,2385,Absent,Non-transmissible
NZ_CP062988.1,51.183534528950105,63454,32478,Absent,Transmissible
NZ_CP068904.1,46.37230715437363,51479,23872,Absent,Transmissible
NZ_CP071199.1,58.447752900044,43189,25243,Absent,Transmissible
NZ_CP064169.1,47.76491110083645,95164,45455,Absent,Non-transmissible
NZ_AP018571.1,48.75272692781941,52715,25700,Absent,Non-transmissible
NZ_CP082866.1,60.049768929968,14065,8446,Absent,Non-transmissible
NC_013653.1,28.270406328658755,41715,11793,Absent,Transmissible
NZ_CP028253.1,35.60407041700637,33117,11791,Absent,Transmissible
NZ_OU342908.1,49.43655071043606,4082,2018,Absent,Transmissible
NZ_CP039698.1,64.08568559634051,44815,28720,Absent,Transmissible
NZ_CP035857.1,53.61924663062346,90447,48497,Absent,Transmissible
NZ_CP031999.1,38.71375856615709,9485,3672,Absent,Transmissible
NZ_CP088951.1,34.16784416023574,82803,28292,Absent,Non-transmissible
NZ_CP082826.1,49.665753679030686,86164,42794,Absent,Transmissible
NZ_CP089990.1,51.07314591952848,190701,97397,Absent,Non-transmissible
NZ_CP073922.1,52.8049372969362,131732,69561,Absent,Transmissible
NZ_OW967378.1,56.27799519072092,21209,11936,Absent,Non-transmissible
NZ_AP024482.1,37.879767291532,1547,586,Absent,Non-transmissible
NZ_MT230228.1,65.03225806451613,775,504,Absent,Non-transmissible
NZ_CP051728.1,49.37459479118898,189717,93672,Absent,Transmissible
NZ_MN232206.1,42.50323723846521,58692,24946,Absent,Transmissible
NZ_CP084319.1,59.69946407930225,285490,170436,Absent,Non-transmissible
NZ_CP025868.1,47.26145332576911,100473,47485,Absent,Non-transmissible
NZ_CP080957.1,63.90753783024303,85051,54354,Absent,Transmissible
NZ_CP069287.1,40.89479759582852,50246,20548,Absent,Transmissible
NZ_CP037271.1,23.10606060606061,1848,427,Absent,Non-transmissible
NZ_CP062892.1,51.13700655193182,109586,56039,Absent,Transmissible
NZ_CP066238.1,33.47418928313409,73361,24557,Absent,Transmissible
NZ_CP033128.1,39.6675008938148,5594,2219,Absent,Transmissible
NZ_CP026749.2,41.85372747615122,42455,17769,Absent,Non-transmissible
NZ_LR890653.1,51.40964318134208,114568,58899,Absent,Transmissible
NZ_CP065977.1,38.181218869030175,27304,10425,Absent,Non-transmissible
NZ_CP032263.1,49.90563857649053,155784,77745,Absent,Transmissible
NC_017776.1,28.129481663593527,4881,1373,Absent,Non-transmissible
NZ_MN080490.1,46.94229875390098,45181,21209,Absent,Transmissible
NZ_CP091233.1,36.64584146817649,5122,1877,Absent,Transmissible
NZ_CP033802.1,55.11823520076178,6301,3473,Absent,Transmissible
NZ_CP015174.1,33.44277673545966,4264,1426,Absent,Transmissible
NZ_CP015072.1,51.33750536842752,65196,33470,Absent,Non-transmissible
NZ_CP037348.1,25.46296296296296,432,110,Absent,Non-transmissible
NZ_CP041164.1,65.24687336557078,108983,71108,T6SS,Non-transmissible
NZ_CP035199.1,35.07010798240969,43433,15232,Absent,Non-transmissible
NZ_CP043779.1,29.825020156457693,45891,13687,Absent,Transmissible
NZ_CP021203.1,49.96130958868278,183508,91683,Absent,Transmissible
NZ_CP035918.1,46.34504753638401,247705,114799,Absent,Transmissible
NZ_CP025015.1,57.42788659923285,557386,320095,Absent,Transmissible
NZ_CP058546.1,50.80460285520512,178411,90641,Absent,Non-transmissible
NZ_LR890715.1,52.24591329068941,70350,36755,Absent,Transmissible
NC_024982.1,41.88834769576621,2669,1118,Absent,Non-transmissible
NZ_KM583817.1,33.780520525892136,18635,6295,Absent,Transmissible
NZ_MN053930.1,50.0,162926,81463,Absent,Transmissible
NZ_CP035178.1,39.40816326530612,4900,1931,Absent,Non-transmissible
NZ_CP062206.1,44.63131197638401,48103,21469,Absent,Non-transmissible
NZ_MW864328.1,45.47275860182703,146248,66503,Absent,Transmissible
NZ_CP084231.1,26.280252959916314,21031,5527,Absent,Non-transmissible
NZ_MH713706.1,49.74601394119061,62405,31044,Absent,Transmissible
NC_012487.1,50.20107079119572,168100,84388,Absent,Transmissible
NZ_CP019439.1,60.48543433829528,114001,68954,Absent,Transmissible
NZ_CP016272.1,39.07968574635241,49005,19151,Absent,Transmissible
NZ_CP068301.1,51.1733785258804,69628,35631,Absent,Transmissible
NC_012200.1,24.01612138454244,25308,6078,Absent,Non-transmissible
NC_011858.1,31.182917826111648,17609,5491,Absent,Non-transmissible
NZ_CP046245.1,55.394907638542186,50075,27739,Absent,Transmissible
NZ_CP029165.1,30.781563126252504,2495,768,Absent,Non-transmissible
NZ_CP044828.1,24.878694309660343,2267,564,Absent,Non-transmissible
NZ_CP046725.1,51.998266414884064,64606,33594,Absent,Non-transmissible
NZ_CP050358.1,55.059642147117295,10060,5539,Absent,Transmissible
NZ_CP062269.1,36.000664525418095,36116,13002,Absent,Non-transmissible
NZ_AP023244.1,59.47995329361972,353699,210380,Absent,Non-transmissible
NZ_CP020494.1,51.32520761277674,54067,27750,Absent,Transmissible
NZ_CP075605.1,34.987480688295776,75084,26270,Absent,Transmissible
NC_013505.1,30.3757991579604,25652,7792,Absent,Non-transmissible
NC_024958.1,67.68807674260988,76724,51933,Absent,Non-transmissible
NZ_CP063007.1,47.17432950191571,2088,985,Absent,Non-transmissible
NZ_CP074688.1,35.25053509686625,18221,6423,Absent,Non-transmissible
NZ_CP086926.1,63.117261202830186,108544,68510,Absent,Non-transmissible
NZ_CP018726.1,59.14218053781198,192558,113883,Absent,Transmissible
NZ_CP088263.1,47.996592965894166,253593,121716,Absent,Transmissible
NZ_CP063660.1,45.011109855760175,132765,59759,Absent,Non-transmissible
NZ_CP089600.1,49.21032033415995,136701,67271,Absent,Transmissible
NZ_CP043380.1,52.89192395322709,159323,84269,Absent,Transmissible
NZ_CP065803.1,41.43550453291289,81184,33639,Absent,Non-transmissible
NZ_CP040905.1,36.17996775493752,198480,71810,Absent,Transmissible
NZ_CP055255.1,50.49317511489128,145790,73614,Absent,Transmissible
NZ_CP021679.1,42.952554427964266,11529,4952,Absent,Non-transmissible
NZ_MT269827.1,54.24935501199186,132173,71703,Absent,Non-transmissible
NZ_CP071106.1,28.75727490585416,2921,840,Absent,Non-transmissible
NZ_CP056033.1,51.86729199235713,17271,8958,Absent,Non-transmissible
NZ_AP019405.1,51.66019681139973,250392,129353,Absent,Transmissible
NZ_CP056911.1,55.5794191011711,118265,65731,Absent,Transmissible
NZ_CP053733.1,50.224891784047486,141846,71242,Absent,Transmissible
NZ_CP030234.1,49.96835776816791,94810,47375,Absent,Transmissible
NZ_CP028973.1,62.86854356018621,31577,19852,Absent,Transmissible
NC_022536.1,57.48395203131811,584965,336261,Absent,Non-transmissible
NZ_CP043475.1,66.23778016895992,43679,28932,Absent,Transmissible
NZ_LT703507.1,65.98400263195772,97266,64180,Absent,Transmissible
NZ_CP035275.1,39.87005316007088,35553,14175,Absent,Transmissible
NZ_CP028786.2,49.03488479689091,54035,26496,Absent,Transmissible
NZ_CP054927.1,68.36720270341345,608416,415957,Absent,Non-transmissible
NZ_CP044279.1,31.94351042367182,4461,1425,Absent,Non-transmissible
NZ_CP015723.1,25.60221272315816,19885,5091,Absent,Non-transmissible
NZ_CP063422.1,42.224573069366784,6617,2794,Absent,Non-transmissible
NZ_CP012484.1,29.79406554472985,9032,2691,Absent,Transmissible
NZ_CP054603.1,60.46398432699152,164359,99378,Absent,Transmissible
NZ_CP095702.1,29.910714285714285,3360,1005,Absent,Non-transmissible
NC_008308.1,62.88692567023944,254797,160234,Absent,Transmissible
NZ_CP018204.1,55.28879715907367,32947,18216,Absent,Non-transmissible
NZ_CP093388.1,50.99744245524297,3910,1994,Absent,Transmissible
NZ_CP023367.1,48.6850246137568,111523,54295,Absent,Transmissible
NZ_AP025805.1,47.298531088096894,370206,175102,Absent,Transmissible
NZ_CP027063.3,50.41687662230427,236161,119065,Absent,Transmissible
NZ_CP033394.2,54.16853239099128,82631,44760,Absent,Transmissible
NZ_CP060069.1,52.92535305985205,4461,2361,Absent,Transmissible
NZ_MK140641.1,33.94062078272604,121524,41246,Absent,Transmissible
NZ_CP035118.1,40.07971225818995,10287,4123,Absent,Non-transmissible
NZ_CP020990.2,61.16523567548624,57070,34907,Absent,Transmissible
NC_013211.1,53.49677489887394,182940,97867,Absent,Non-transmissible
NZ_CP081568.1,48.45226458129684,3069,1487,Absent,Non-transmissible
NZ_CP038596.1,59.91075284295379,27788,16648,Absent,Transmissible
NZ_MN543576.1,45.83315751719482,284388,130344,Absent,Transmissible
NZ_CP067734.1,52.00366239650178,126693,65885,Absent,Non-transmissible
NC_019245.1,24.408468244084684,4015,980,Absent,Non-transmissible
NZ_CP035877.1,51.75759313690348,83694,43318,Absent,Transmissible
NZ_CP065157.1,40.94450628080776,6289,2575,Absent,Non-transmissible
NZ_CP031378.1,36.938202247191015,4984,1841,Absent,Transmissible
NZ_CP048949.1,51.29415129415129,6993,3587,Absent,Non-transmissible
NZ_CP033100.1,30.438863356851577,30898,9405,Absent,Transmissible
NZ_CP025812.1,55.21180721842483,114845,63408,Absent,Transmissible
NZ_MN336501.1,61.67389508467576,58104,35835,Absent,Transmissible
NZ_MG649062.1,52.94945514495959,99476,52672,Absent,Non-transmissible
NZ_CP013005.1,63.04653164786371,88284,55660,Absent,Transmissible
NZ_CP073156.1,30.44236217040749,73424,22352,Absent,Non-transmissible
NZ_CP016494.1,39.62645128722868,11886,4710,Absent,Non-transmissible
NZ_LR135290.1,34.506582735193646,26053,8990,Absent,Non-transmissible
NZ_CP017909.1,39.16988516401462,291285,114096,Absent,Non-transmissible
NZ_CP091760.1,49.91440449987772,4089,2041,Absent,Transmissible
NZ_CP018829.1,30.674986682900844,13141,4031,Absent,Transmissible
NZ_CP025052.1,57.33858451679656,59923,34359,Absent,Transmissible
NZ_LR880735.1,52.95649201817524,99476,52679,Absent,Non-transmissible
NZ_CP039812.1,55.57226399331663,11970,6652,Absent,Transmissible
NZ_MW390531.1,48.009122287968445,48672,23367,Absent,Transmissible
NZ_CP061724.1,56.08770812181057,602772,338081,Absent,Non-transmissible
NC_010660.1,46.07171473409223,210919,97174,Absent,Non-transmissible
NZ_CP011844.1,55.10083036773428,3372,1858,Absent,Non-transmissible
NZ_CP022795.1,67.06484735407909,2001855,1342541,T6SS,Non-transmissible
NZ_CP013627.1,33.64062752709041,6183,2080,Absent,Transmissible
NZ_CP026270.1,51.22167841418016,52919,27106,Absent,Non-transmissible
NZ_LR135286.1,36.14043702430641,4073,1472,Absent,Transmissible
NZ_MF770240.1,57.16763005780347,5190,2967,Absent,Transmissible
NZ_CP086407.1,50.99873577749684,79100,40340,Absent,Transmissible
NZ_CP045951.1,49.319071334876135,93769,46246,Absent,Transmissible
NZ_CP040885.1,51.35215579556085,117590,60385,Absent,Transmissible
NZ_CP072960.1,51.54593639575972,2264,1167,Absent,Non-transmissible
NZ_CP091531.1,37.30494578153928,30248,11284,Absent,Transmissible
NZ_CP017904.1,39.19256914534793,289065,113292,Absent,Non-transmissible
NZ_MN816371.1,48.8175525559626,101273,49439,Absent,Transmissible
NZ_CP027529.1,34.37177871950521,8731,3001,Absent,Non-transmissible
NZ_CP061207.1,51.46051208077894,116466,59934,Absent,Transmissible
NZ_CP018947.1,51.10507598699747,143972,73577,Absent,Non-transmissible
NZ_CP064848.1,51.81324463631405,130181,67451,Absent,Transmissible
NZ_CP033628.1,52.85220868932921,110020,58148,Absent,Transmissible
NZ_CP047590.1,43.364693261332064,165923,71952,Orphan island,Transmissible
NZ_CP023986.1,51.92173305380852,1431,743,Absent,Non-transmissible
NZ_CP056898.1,53.53397172822618,4386,2348,Absent,Transmissible
NZ_CP094673.1,55.13669568260356,114305,63024,Absent,Non-transmissible
NZ_CP035126.1,47.53241726340236,5167,2456,Absent,Transmissible
NZ_CP031233.1,53.25304146152907,98308,52352,Absent,Non-transmissible
NZ_CP034137.1,52.73580715095503,150833,79543,Absent,Transmissible
NZ_CP034729.1,46.10884817599455,111458,51392,Absent,Non-transmissible
NC_025143.1,51.10032938662869,112330,57401,Absent,Transmissible
NZ_CP093531.1,60.484533786015504,130187,78743,Absent,Non-transmissible
NZ_CP019575.1,28.37628366595621,20644,5858,Absent,Non-transmissible
NZ_MN657116.1,39.64611072179397,5708,2263,Absent,Transmissible
NC_022609.1,53.28811479600532,146695,78171,Absent,Transmissible
NZ_MW646301.1,51.90570067356662,73044,37914,Absent,Transmissible
NZ_CP029215.1,46.92876861445222,203941,95707,Absent,Non-transmissible
NZ_AP024807.1,37.80968468468468,7104,2686,Absent,Transmissible
NZ_CP039814.1,52.33456883967792,148657,77799,Absent,Transmissible
NC_005702.1,34.14634146341464,2665,910,Absent,Non-transmissible
NZ_CP054231.1,48.60218059826671,7154,3477,Absent,Transmissible
NZ_CP073834.1,27.286682870666496,15634,4266,Absent,Non-transmissible
NC_006129.1,26.46508279337653,55560,14704,Absent,Non-transmissible
NZ_CP045053.1,48.38833461243285,26060,12610,Absent,Transmissible
NZ_AP022211.1,44.04615762337343,4073,1794,Absent,Non-transmissible
NZ_CP061949.1,46.72384544798887,295331,137990,Absent,Transmissible
NZ_CP025695.1,36.394348894348894,6512,2370,Absent,Non-transmissible
NZ_CP049078.2,51.90630345354048,70739,36718,Absent,Transmissible
NC_022227.1,29.531812725090035,3332,984,Absent,Non-transmissible
NZ_FR989806.1,62.33620953778848,140347,87487,Orphan island,Non-transmissible
NZ_CP032305.1,44.226160537294,33799,14948,Absent,Transmissible
NZ_MW013144.1,50.42614847012699,211194,106497,Absent,Non-transmissible
NZ_LR135352.1,35.23127204857696,238961,84189,Absent,Transmissible
NZ_AP022878.1,34.396081265329805,280907,96621,Absent,Non-transmissible
NZ_CP063230.1,53.26986660586022,87710,46723,Absent,Transmissible
NZ_CP069452.1,51.56962533289556,109644,56543,Absent,Transmissible
NZ_CP037105.1,28.560250391236305,1278,365,Absent,Non-transmissible
NZ_OW970371.1,41.12407211028632,4715,1939,Absent,Non-transmissible
NZ_OU016030.1,33.559322033898304,7670,2574,Absent,Non-transmissible
NZ_MH067972.1,59.33720129806274,40676,24136,Absent,Transmissible
NZ_CP084665.1,47.94057505320703,23963,11488,Absent,Transmissible
NC_021051.1,36.2314975330044,7499,2717,Absent,Non-transmissible
NZ_CP075633.1,48.82463661163672,120601,58883,Absent,Transmissible
NZ_CP032533.1,34.53657232797791,67346,23259,Absent,Non-transmissible
NZ_CP017233.1,49.263394467984206,96999,47785,Absent,Transmissible
NZ_CP011616.1,49.62549841442575,117623,58371,Absent,Non-transmissible
NZ_AP025908.1,47.47682177541897,363272,172470,Absent,Non-transmissible
NZ_MK862125.1,52.48747185707023,55076,28908,Absent,Transmissible
NZ_MH114596.1,46.05254027261462,201750,92911,Absent,Non-transmissible
NZ_CP024656.1,34.955149257389344,102005,35656,Absent,Transmissible
NZ_LR215040.1,26.51953056577334,17127,4542,Absent,Non-transmissible
NZ_LR217721.1,31.996996996997,33300,10655,Absent,Non-transmissible
NZ_CP046710.1,42.30270950547824,54032,22857,Absent,Transmissible
NZ_MT230404.1,45.071086853985584,14841,6689,Absent,Non-transmissible
NZ_MW373507.1,42.49177458305645,61699,26217,Absent,Transmissible
NZ_CP010722.1,58.655682252168695,36658,21502,Absent,Transmissible
NZ_CP022174.1,54.99305141949573,5037,2770,Absent,Non-transmissible
NZ_MH909349.1,53.33619473350167,219007,116810,Absent,Transmissible
NZ_CP031344.1,47.66544461692594,90831,43295,Absent,Transmissible
NZ_CP076317.1,50.199203187250994,1506,756,Absent,Non-transmissible
NZ_LR882924.1,42.2618840327355,57430,24271,Absent,Transmissible
NZ_CP021159.1,62.48505829206576,193251,120753,Absent,Transmissible
NZ_CP015097.1,65.16863868697051,56541,36847,Absent,Non-transmissible
NZ_LN850163.1,51.339130850847496,167198,85838,Absent,Transmissible
NZ_CP028243.1,41.20778936620232,41133,16950,Absent,Transmissible
NZ_CP028563.1,60.33783783783784,11840,7144,Absent,Non-transmissible
NZ_AP022065.1,51.87596393403725,134864,69962,Absent,Transmissible
NZ_CP095089.1,51.4125068568294,36460,18745,Absent,Non-transmissible
NZ_CP022063.1,52.03173452539165,173817,90440,Absent,Transmissible
NC_021903.1,40.172743456187774,15167,6093,Absent,Transmissible
NZ_CP058210.1,50.35995228442487,119877,60370,Absent,Transmissible
NZ_CP095659.1,50.83509981597521,128787,65469,Absent,Transmissible
NZ_KX443406.1,64.89275482509046,106112,68859,Absent,Transmissible
NZ_CP092194.1,63.826995950514544,430672,274885,Absent,Non-transmissible
NZ_KX839207.1,48.12111065904528,299858,144295,Absent,Transmissible
NZ_CP073195.1,29.04679152989637,31074,9026,Absent,Non-transmissible
NZ_CP033886.1,40.50170555740031,33127,13417,Absent,Transmissible
NZ_CP011275.1,67.73653752295071,86054,58290,Absent,Non-transmissible
NZ_LR898884.1,47.99807042932947,2073,995,Absent,Non-transmissible
NZ_MK158080.1,51.59351265158827,95324,49181,Absent,Transmissible
NZ_CP090825.1,32.39553895841744,39632,12839,Absent,Non-transmissible
NZ_AP021926.1,48.61544461778471,5128,2493,Absent,Non-transmissible
NC_010906.1,46.03739982190561,2246,1034,Absent,Non-transmissible
NZ_CP020613.1,69.55800046817475,93982,65372,Absent,Non-transmissible
NZ_CP046038.1,39.528034595884286,53648,21206,Absent,Transmissible
NZ_KT223775.1,31.54895985159666,7547,2381,Absent,Non-transmissible
NZ_CP043577.1,53.54044365941088,19249,10306,Absent,Non-transmissible
NZ_OU015714.1,33.50484261501211,3304,1107,Absent,Non-transmissible
NZ_LR882980.1,52.42128572417134,72255,37877,Absent,Transmissible
NZ_CP067680.1,53.28277502678353,118543,63163,Absent,Non-transmissible
NZ_CP071318.1,40.66726575741375,87911,35751,Absent,Non-transmissible
NZ_CP015213.1,69.59749085206482,124345,86541,Absent,Non-transmissible
NZ_LR134110.1,34.34371653396657,42954,14752,Absent,Non-transmissible
NZ_CP046067.1,49.09504714425057,396761,194790,Absent,Transmissible
NZ_MK312247.1,53.68173226220212,118504,63615,Absent,Non-transmissible
NZ_MT163739.1,48.23968199440546,305655,147447,Absent,Transmissible
NZ_CP047341.1,36.9118442401298,59168,21840,Absent,Transmissible
NZ_CP075181.1,55.44301746141069,24683,13685,Absent,Non-transmissible
NZ_CP084784.1,52.49493336608733,195396,102573,Absent,Transmissible
NZ_MH648141.1,52.92071644508013,92289,48840,Absent,Transmissible
NZ_CP019200.1,48.74323335771763,34175,16658,Absent,Transmissible
NZ_AP022099.1,48.48428143712575,5344,2591,Absent,Transmissible
NZ_AP019409.1,35.297560975609755,153750,54270,Absent,Non-transmissible
NZ_CP013330.1,29.395550305178183,5079,1493,Absent,Non-transmissible
NZ_CP040426.1,42.63115864655583,111449,47512,Absent,Non-transmissible
NZ_LR890553.1,46.48366013071895,3825,1778,Absent,Non-transmissible
NZ_CP067596.1,53.473904786850895,15271,8166,Absent,Non-transmissible
NZ_CP066174.1,49.62155702253585,210864,104634,Absent,Non-transmissible
NZ_CP022146.1,50.96669596048365,65998,33637,Absent,Non-transmissible
NZ_CP009107.1,49.46638835035646,161447,79862,Absent,Transmissible
NC_019184.1,40.099925980755,5404,2167,Absent,Transmissible
NZ_CP070183.1,49.90410433448408,5214,2602,Absent,Transmissible
NZ_CP043551.1,29.29858743302484,4106,1203,Absent,Non-transmissible
NZ_CP036431.1,69.74599135756432,91178,63593,Absent,Non-transmissible
NZ_CP007621.1,33.74619730551934,4602,1553,Absent,Transmissible
NZ_CP049148.1,56.84439193566828,131195,74577,T6SS,Non-transmissible
NZ_CP083583.1,48.61214030526703,1207795,587135,Absent,Transmissible
NZ_LR890239.1,45.70323293727549,3619,1654,Absent,Non-transmissible
NZ_CP040266.1,41.47156084656085,30240,12541,Absent,Non-transmissible
NZ_CP063971.1,50.21993680688929,96846,48636,Absent,Transmissible
NC_020381.1,34.85119122493648,39749,13853,Absent,Non-transmissible
NZ_CP014832.1,36.2957430918596,1339,486,Absent,Non-transmissible
NZ_CP098728.1,29.33982482295937,42928,12595,Absent,Non-transmissible
NZ_CP012520.1,32.533111671382485,181658,59099,Absent,Non-transmissible
NZ_MZ291453.1,36.009586578789694,38387,13823,Absent,Non-transmissible
NZ_CP093375.1,57.232699079089926,118144,67617,Absent,Non-transmissible
NZ_CP013709.1,25.06149194528432,205718,51556,Orphan island,Non-transmissible
NZ_CP022359.1,51.822197395235285,193338,100192,Absent,Transmissible
NZ_LT960778.1,37.27327213652566,31701,11816,Absent,Transmissible
NZ_CP065648.1,41.44380296865703,62183,25771,Absent,Transmissible
NZ_MW800635.1,52.36289463354455,142664,74703,Absent,Transmissible
NZ_CP094384.1,38.72882378978713,49702,19249,Absent,Transmissible
NZ_CP021946.1,53.5826166438157,120345,64484,Absent,Transmissible
NZ_CP093327.1,62.863885241433984,161452,101495,Absent,Transmissible
NZ_CP024244.1,49.43228166197405,152012,75143,Absent,Transmissible
NZ_MF150120.1,46.10917537746806,46494,21438,Absent,Transmissible
NZ_CP049853.1,52.8964529052256,102591,54267,Absent,Non-transmissible
NZ_CP061617.1,40.14069380302868,37244,14950,Absent,Non-transmissible
NZ_AP022500.1,53.23508984259495,145421,77415,Absent,Transmissible
NZ_CP013035.1,28.826252723311548,44064,12702,Absent,Transmissible
NZ_KT754165.1,41.50483323173387,34449,14298,Absent,Transmissible
NZ_CP023879.1,52.572571759341535,196943,103538,Absent,Transmissible
NZ_CP043887.1,34.272383132317984,90872,31144,Absent,Non-transmissible
NZ_CP073147.1,30.628534551568364,58883,18035,Absent,Non-transmissible
NZ_CP015127.2,37.7541142303969,2066,780,Absent,Non-transmissible
NZ_MF150118.1,51.90307690562871,176346,91529,Absent,Transmissible
NZ_CP054298.1,49.55822383325781,8828,4375,Absent,Transmissible
NZ_CP010750.1,59.09398904775095,234655,138667,Absent,Transmissible
NZ_CP028889.1,32.343758869274,35234,11396,Absent,Non-transmissible
NZ_CP024464.1,47.805755395683455,2780,1329,Absent,Non-transmissible
NZ_CP089396.1,52.12613613116287,136868,71344,Absent,Transmissible
NZ_CP061863.1,42.30015918310458,136321,57664,Absent,Non-transmissible
NZ_CP018798.1,41.17075325822841,67905,27957,Absent,Transmissible
NZ_CP061763.1,51.04108047270681,3554,1814,Absent,Non-transmissible
NZ_CP044764.1,35.416666666666664,240,85,Absent,Non-transmissible
NZ_CP058840.1,51.35405509185344,98962,50821,Absent,Transmissible
NC_000958.1,63.19238614720566,177466,112145,Absent,Non-transmissible
NZ_CP071089.1,53.65251727541955,4052,2174,Absent,Transmissible
NZ_CP017294.1,59.37119272922753,398087,236349,Absent,Transmissible
NZ_CP029583.1,51.28008489312562,112141,57506,Absent,Transmissible
NZ_CP032420.1,46.569787090233184,2959,1378,Absent,Non-transmissible
NZ_CP022917.1,52.97979941357061,246577,130636,Absent,Transmissible
NC_025154.1,37.68133911965282,8065,3039,Absent,Transmissible
NZ_CP041101.1,49.27425584277938,111334,54859,Absent,Non-transmissible
NZ_CP083783.1,31.12033195020747,2892,900,Absent,Transmissible
NZ_KM210088.1,38.31661960860676,41084,15742,Absent,Transmissible
NZ_CP036820.1,37.083333333333336,720,267,Absent,Non-transmissible
NC_010885.1,49.80353634577603,4072,2028,Absent,Transmissible
NZ_CP064921.1,45.01098657350607,144267,64936,Absent,Non-transmissible
NC_010733.1,45.51036753581917,11237,5114,Absent,Non-transmissible
NC_022542.1,60.0,41950,25170,Absent,Transmissible
NZ_CP046370.1,27.630175386370965,40311,11138,Absent,Transmissible
NZ_MN937241.1,47.56513965036245,278517,132477,Absent,Non-transmissible
NZ_MN647787.1,52.16713091922006,161550,84276,Absent,Transmissible
NZ_CP054716.1,43.57514859344447,51651,22507,Absent,Non-transmissible
NZ_CP066854.1,65.60357675111773,134200,88040,Absent,Transmissible
NC_002061.1,47.05102717031146,1509,710,Absent,Non-transmissible
NZ_CP086468.1,52.53289300616377,247089,129803,Absent,Transmissible
NZ_CP088108.1,58.71662646594028,504966,296499,Absent,Transmissible
NZ_CP047219.1,61.05711308049936,135293,82606,Absent,Transmissible
NZ_CP091302.1,35.164473479932184,161029,56625,Absent,Non-transmissible
NZ_CP086943.1,65.34593260121372,82227,53732,Absent,Non-transmissible
NZ_CP039285.1,35.15489735345041,129376,45482,Absent,Non-transmissible
NZ_CP036441.1,58.52887852887853,19305,11299,Absent,Transmissible
NC_008741.1,65.68834884939346,198504,130394,Absent,Non-transmissible
NZ_CP035725.1,47.40767045454545,5632,2670,Absent,Transmissible
NZ_AP022182.1,49.50908198330879,4074,2017,Absent,Transmissible
NZ_CP075080.1,27.58415448713709,30242,8342,Absent,Non-transmissible
NZ_MT039201.1,50.79815586537264,72229,36691,Absent,Transmissible
NC_001764.1,36.901875717749135,7837,2892,Absent,Non-transmissible
NZ_MK973072.1,38.33310892688838,7427,2847,Absent,Transmissible
NZ_CP015171.1,54.63705385652452,28186,15400,Absent,Transmissible
NZ_CP025809.1,59.70530917234622,371508,221810,Absent,Non-transmissible
NZ_CP004255.1,27.75377969762419,1852,514,Absent,Non-transmissible
NZ_CP032496.1,52.80828192082289,90607,47848,Absent,Transmissible
NZ_CP029214.1,51.56771111041412,95649,49324,Absent,Transmissible
NC_025145.1,52.85839020243101,87042,46009,Absent,Transmissible
NC_007209.1,30.93408815204205,2473,765,Absent,Non-transmissible
